,date,Start,End,Sleep quality,Time in bed,Wake up,Sleep Notes,Heart rate,Activity (steps),sleeptime,sleepnote
174,2015-09-19,2015/9/19 22:01,2015/9/20 6:48,0.91,8:47:00,:),Drank coffee,,0,527,['Drank coffee']
175,2015-09-20,2015/9/20 22:07,2015/9/21 6:15,0.79,8:08:00,:),Drank coffee:Drank tea:Worked out,55,0,488,"['Drank coffee', 'Drank tea', 'Worked out']"
176,2015-09-22,2015/9/22 21:34,2015/9/23 6:15,0.81,8:41:00,:),Drank coffee:Drank tea:Worked out,58,0,521,"['Drank coffee', 'Drank tea', 'Worked out']"
177,2015-09-23,2015/9/23 21:37,2015/9/24 5:07,0.77,7:29:00,:),Drank coffee:Drank tea:Worked out,49,0,449,"['Drank coffee', 'Drank tea', 'Worked out']"
178,2015-09-24,2015/9/24 22:37,2015/9/25 6:00,0.83,7:22:00,:),Ate late:Drank coffee:Drank tea:Worked out,,0,442,"['Ate late', 'Drank coffee', 'Drank tea', 'Worked out']"
179,2015-09-27,2015/9/27 22:57,2015/9/28 7:00,0.82,8:02:00,:),Drank tea,61,0,482,['Drank tea']
180,2015-09-28,2015/9/28 21:12,2015/9/29 5:15,0.9,8:02:00,:),Drank tea:Worked out,60,0,482,"['Drank tea', 'Worked out']"
181,2015-09-29,2015/9/29 22:54,2015/9/30 6:20,0.89,7:25:00,:),Ate late:Drank coffee:Drank tea:Worked out,58,0,445,"['Ate late', 'Drank coffee', 'Drank tea', 'Worked out']"
182,2015-09-30,2015/9/30 23:57,2015/10/1 6:14,0.62,6:16:00,:),Drank coffee:Drank tea:Worked out,55,0,376,"['Drank coffee', 'Drank tea', 'Worked out']"
183,2015-10-03,2015/10/3 0:09,2015/10/3 7:26,0.69,7:17:00,:),Drank coffee:Worked out,57,0,437,"['Drank coffee', 'Worked out']"
184,2015-10-11,2015/10/11 0:27,2015/10/11 8:58,1,8:31:00,:),Drank coffee:Stressful day,50,0,511,"['Drank coffee', 'Stressful day']"
185,2015-10-12,2015/10/12 21:59,2015/10/13 6:00,0.74,8:01:00,:),Ate late:Drank coffee:Drank tea:Worked out,,0,481,"['Ate late', 'Drank coffee', 'Drank tea', 'Worked out']"
186,2015-10-13,2015/10/13 22:19,2015/10/14 4:59,0.59,6:40:00,:),Drank coffee:Worked out,,0,400,"['Drank coffee', 'Worked out']"
188,2015-10-14,2015/10/14 22:40,2015/10/15 6:20,0.68,7:40:00,:),Drank tea:Worked out,65,0,460,"['Drank tea', 'Worked out']"
189,2015-10-15,2015/10/15 22:12,2015/10/16 6:21,0.67,8:08:00,:),Drank coffee:Drank tea:Worked out,58,0,488,"['Drank coffee', 'Drank tea', 'Worked out']"
190,2015-10-17,2015/10/17 0:45,2015/10/17 7:37,0.57,6:51:00,:),Drank coffee:Drank tea,,0,411,"['Drank coffee', 'Drank tea']"
191,2015-10-18,2015/10/18 21:52,2015/10/19 6:20,0.67,8:27:00,:|,Drank coffee,,0,507,['Drank coffee']
192,2015-10-20,2015/10/20 21:38,2015/10/21 6:20,0.88,8:42:00,:|,Drank coffee:Drank tea,62,0,522,"['Drank coffee', 'Drank tea']"
193,2015-10-21,2015/10/21 22:41,2015/10/22 6:20,0.77,7:39:00,:),Drank coffee:Drank tea,53,0,459,"['Drank coffee', 'Drank tea']"
194,2015-10-22,2015/10/22 21:46,2015/10/23 5:30,0.8,7:44:00,:),Drank coffee:Drank tea:Worked out,70,0,464,"['Drank coffee', 'Drank tea', 'Worked out']"
195,2015-10-24,2015/10/24 0:32,2015/10/24 8:12,0.77,7:40:00,:),Drank coffee:Drank tea:Worked out,,0,460,"['Drank coffee', 'Drank tea', 'Worked out']"
196,2015-10-24,2015/10/24 22:38,2015/10/25 6:33,0.81,7:55:00,:),Drank coffee:Drank tea,,0,475,"['Drank coffee', 'Drank tea']"
197,2015-10-26,2015/10/26 23:09,2015/10/27 6:05,0.77,6:55:00,:),Drank coffee:Drank tea,65,0,415,"['Drank coffee', 'Drank tea']"
198,2015-10-27,2015/10/27 21:34,2015/10/28 5:35,0.78,8:01:00,:|,Drank coffee:Worked out,,0,481,"['Drank coffee', 'Worked out']"
199,2015-10-28,2015/10/28 22:28,2015/10/29 6:20,0.83,7:51:00,:|,Drank tea:Worked out,53,0,471,"['Drank tea', 'Worked out']"
200,2015-10-29,2015/10/29 22:30,2015/10/30 6:10,0.81,7:40:00,:|,Drank tea:Worked out,57,0,460,"['Drank tea', 'Worked out']"
201,2015-10-31,2015/10/31 1:01,2015/10/31 7:50,0.5,6:48:00,:),Drank coffee:Drank tea,,0,408,"['Drank coffee', 'Drank tea']"
202,2015-11-02,2015/11/2 22:00,2015/11/3 6:10,0.83,8:09:00,:|,Drank coffee:Drank tea:Worked out,55,0,489,"['Drank coffee', 'Drank tea', 'Worked out']"
203,2015-11-03,2015/11/3 22:46,2015/11/4 6:09,0.75,7:23:00,:|,Drank coffee:Drank tea:Worked out,,0,443,"['Drank coffee', 'Drank tea', 'Worked out']"
204,2015-11-04,2015/11/4 22:49,2015/11/5 6:00,0.65,7:11:00,:|,Drank coffee:Drank tea:Worked out,,0,431,"['Drank coffee', 'Drank tea', 'Worked out']"
205,2015-11-05,2015/11/5 21:36,2015/11/6 5:29,0.77,7:52:00,:|,Drank coffee:Drank tea:Worked out,,0,472,"['Drank coffee', 'Drank tea', 'Worked out']"
206,2015-11-07,2015/11/7 0:19,2015/11/7 8:13,0.93,7:54:00,:),Drank coffee:Drank tea:Worked out,98,0,474,"['Drank coffee', 'Drank tea', 'Worked out']"
207,2015-11-08,2015/11/8 23:28,2015/11/9 6:20,0.69,6:52:00,:),Drank coffee:Drank tea,,0,412,"['Drank coffee', 'Drank tea']"
208,2015-11-09,2015/11/9 21:59,2015/11/10 5:41,0.88,7:41:00,:),Drank coffee:Drank tea:Worked out,,0,461,"['Drank coffee', 'Drank tea', 'Worked out']"
209,2015-11-10,2015/11/10 22:56,2015/11/11 6:28,0.83,7:32:00,:),Drank coffee:Drank tea:Worked out,,0,452,"['Drank coffee', 'Drank tea', 'Worked out']"
210,2015-11-11,2015/11/11 22:57,2015/11/12 6:20,0.72,7:23:00,:),Drank coffee:Drank tea,,0,443,"['Drank coffee', 'Drank tea']"
211,2015-11-13,2015/11/13 22:59,2015/11/14 7:46,0.96,8:46:00,:),Drank coffee:Drank tea,59,0,526,"['Drank coffee', 'Drank tea']"
212,2015-11-15,2015/11/15 22:17,2015/11/16 6:30,0.72,8:13:00,:),Drank coffee:Drank tea,62,0,493,"['Drank coffee', 'Drank tea']"
213,2015-11-18,2015/11/18 22:07,2015/11/19 5:30,0.8,7:23:00,:),Ate late:Drank coffee:Drank tea:Worked out,63,0,443,"['Ate late', 'Drank coffee', 'Drank tea', 'Worked out']"
214,2015-11-19,2015/11/19 23:10,2015/11/20 6:00,0.73,6:50:00,:),Drank coffee:Drank tea:Worked out,62,0,410,"['Drank coffee', 'Drank tea', 'Worked out']"
215,2015-11-22,2015/11/22 21:57,2015/11/23 5:30,0.83,7:33:00,:),Drank tea,,0,453,['Drank tea']
216,2015-11-23,2015/11/23 22:15,2015/11/24 5:00,0.74,6:44:00,:),Drank coffee:Drank tea:Worked out,,0,404,"['Drank coffee', 'Drank tea', 'Worked out']"
217,2015-11-24,2015/11/24 22:33,2015/11/25 6:30,0.87,7:57:00,:),Drank coffee:Drank tea:Worked out,,0,477,"['Drank coffee', 'Drank tea', 'Worked out']"
218,2015-11-25,2015/11/25 23:26,2015/11/26 6:20,0.69,6:54:00,:),Drank coffee:Drank tea:Worked out,,0,414,"['Drank coffee', 'Drank tea', 'Worked out']"
219,2015-11-26,2015/11/26 22:25,2015/11/27 6:20,0.81,7:55:00,:),Drank coffee:Drank tea:Worked out,,0,475,"['Drank coffee', 'Drank tea', 'Worked out']"
220,2015-11-28,2015/11/28 1:20,2015/11/28 7:46,0.58,6:25:00,:),Drank coffee:Drank tea:Worked out,59,0,385,"['Drank coffee', 'Drank tea', 'Worked out']"
221,2015-11-29,2015/11/29 22:20,2015/11/30 6:20,0.68,7:59:00,:),Drank tea,,0,479,['Drank tea']
222,2015-11-30,2015/11/30 21:23,2015/12/1 6:19,0.64,8:55:00,:),Drank coffee:Drank tea:Worked out,,0,535,"['Drank coffee', 'Drank tea', 'Worked out']"
223,2015-12-01,2015/12/1 23:03,2015/12/2 6:20,0.84,7:17:00,:),Drank coffee:Drank tea:Worked out,57,0,437,"['Drank coffee', 'Drank tea', 'Worked out']"
224,2015-12-02,2015/12/2 22:19,2015/12/3 5:11,0.75,6:51:00,:),Drank coffee:Drank tea,,0,411,"['Drank coffee', 'Drank tea']"
225,2015-12-03,2015/12/3 22:51,2015/12/4 5:01,0.7,6:09:00,:),Ate late:Drank coffee:Drank tea,,0,369,"['Ate late', 'Drank coffee', 'Drank tea']"
226,2015-12-06,2015/12/6 22:10,2015/12/7 5:31,0.86,7:20:00,:),Drank coffee:Drank tea,68,0,440,"['Drank coffee', 'Drank tea']"
227,2015-12-07,2015/12/7 21:20,2015/12/8 5:00,0.86,7:40:00,:),Drank tea:Stressful day:Worked out,61,0,460,"['Drank tea', 'Stressful day', 'Worked out']"
228,2015-12-08,2015/12/8 22:17,2015/12/9 5:45,0.79,7:28:00,:),Drank coffee:Drank tea:Stressful day:Worked out,,0,448,"['Drank coffee', 'Drank tea', 'Stressful day', 'Worked out']"
229,2015-12-09,2015/12/9 21:57,2015/12/10 6:10,0.93,8:13:00,:),Drank tea:Stressful day:Worked out,67,0,493,"['Drank tea', 'Stressful day', 'Worked out']"
230,2015-12-13,2015/12/13 0:08,2015/12/13 8:23,0.77,8:14:00,:),Drank coffee,,0,494,['Drank coffee']
231,2015-12-13,2015/12/13 22:07,2015/12/14 6:09,0.8,8:02:00,:),Drank coffee,52,0,482,['Drank coffee']
232,2015-12-15,2015/12/15 22:32,2015/12/16 6:10,0.75,7:37:00,:),Drank coffee:Drank tea:Worked out,,0,457,"['Drank coffee', 'Drank tea', 'Worked out']"
233,2015-12-16,2015/12/16 22:20,2015/12/17 5:40,0.84,7:20:00,:),Drank coffee:Drank tea:Stressful day,,0,440,"['Drank coffee', 'Drank tea', 'Stressful day']"
234,2015-12-17,2015/12/17 21:07,2015/12/18 5:45,1,8:37:00,:),Drank coffee:Drank tea:Worked out,,0,517,"['Drank coffee', 'Drank tea', 'Worked out']"
235,2015-12-20,2015/12/20 22:19,2015/12/21 6:20,0.72,8:00:00,:|,Drank coffee:Drank tea:Worked out,56,0,480,"['Drank coffee', 'Drank tea', 'Worked out']"
236,2015-12-21,2015/12/21 22:06,2015/12/22 5:29,0.8,7:23:00,:|,Drank coffee:Worked out,,0,443,"['Drank coffee', 'Worked out']"
237,2015-12-22,2015/12/22 21:41,2015/12/23 5:43,0.82,8:01:00,:),Drank coffee:Drank tea:Worked out,,0,481,"['Drank coffee', 'Drank tea', 'Worked out']"
238,2015-12-23,2015/12/23 22:33,2015/12/24 6:01,0.79,7:27:00,:),Drank coffee:Drank tea,,0,447,"['Drank coffee', 'Drank tea']"
239,2015-12-29,2015/12/29 22:44,2015/12/30 7:00,0.76,8:16:00,:|,Drank coffee,,0,496,['Drank coffee']
240,2016-01-01,2016/1/1 23:53,2016/1/2 8:27,0.79,8:33:00,:|,Drank coffee:Drank tea,71,0,513,"['Drank coffee', 'Drank tea']"
241,2016-01-02,2016/1/2 23:49,2016/1/3 8:13,0.85,8:24:00,:),Drank coffee:Drank tea,65,0,504,"['Drank coffee', 'Drank tea']"
242,2016-01-03,2016/1/3 21:44,2016/1/4 5:35,0.69,7:51:00,:),Drank coffee,,0,471,['Drank coffee']
243,2016-01-04,2016/1/4 22:17,2016/1/5 5:45,0.74,7:28:00,:|,Drank coffee:Drank tea:Stressful day,,0,448,"['Drank coffee', 'Drank tea', 'Stressful day']"
244,2016-01-05,2016/1/5 22:18,2016/1/6 6:20,0.66,8:01:00,:|,Drank coffee:Worked out,,0,481,"['Drank coffee', 'Worked out']"
245,2016-01-13,2016/1/13 22:44,2016/1/14 6:20,0.72,7:35:00,:|,Ate late:Drank coffee:Drank tea:Stressful day,,0,455,"['Ate late', 'Drank coffee', 'Drank tea', 'Stressful day']"
246,2016-01-14,2016/1/14 22:10,2016/1/15 5:28,0.73,7:17:00,:|,Drank coffee:Drank tea:Worked out,,0,437,"['Drank coffee', 'Drank tea', 'Worked out']"
247,2016-01-17,2016/1/17 22:00,2016/1/18 5:30,0.76,7:29:00,:|,Drank coffee:Drank tea:Worked out,,0,449,"['Drank coffee', 'Drank tea', 'Worked out']"
248,2016-01-18,2016/1/18 21:56,2016/1/19 5:34,0.78,7:38:00,,Ate late:Drank coffee:Drank tea,,0,458,"['Ate late', 'Drank coffee', 'Drank tea']"
249,2016-01-19,2016/1/19 22:46,2016/1/20 6:35,0.75,7:48:00,,Drank coffee:Drank tea:Worked out,,0,468,"['Drank coffee', 'Drank tea', 'Worked out']"
250,2016-01-20,2016/1/20 21:13,2016/1/21 6:29,0.77,9:15:00,,Drank coffee:Drank tea,,0,555,"['Drank coffee', 'Drank tea']"
251,2016-01-21,2016/1/21 21:33,2016/1/22 6:23,0.79,8:50:00,,Drank coffee,,0,530,['Drank coffee']
252,2016-01-22,2016/1/22 22:17,2016/1/23 8:14,0.79,9:57:00,,Drank coffee:Worked out,,0,597,"['Drank coffee', 'Worked out']"
253,2016-01-24,2016/1/24 22:06,2016/1/25 6:30,0.85,8:23:00,,Drank coffee:Drank tea:Worked out,,0,503,"['Drank coffee', 'Drank tea', 'Worked out']"
254,2016-01-25,2016/1/25 22:27,2016/1/26 6:38,0.88,8:10:00,,Drank coffee,,0,490,['Drank coffee']
255,2016-01-26,2016/1/26 22:58,2016/1/27 6:28,0.83,7:29:00,,Drank coffee:Drank tea:Worked out,,0,449,"['Drank coffee', 'Drank tea', 'Worked out']"
256,2016-01-27,2016/1/27 22:02,2016/1/28 5:23,0.84,7:20:00,,Drank coffee:Drank tea:Worked out,,0,440,"['Drank coffee', 'Drank tea', 'Worked out']"
257,2016-01-28,2016/1/28 22:11,2016/1/29 5:26,0.76,7:15:00,,Drank coffee:Drank tea:Worked out,,0,435,"['Drank coffee', 'Drank tea', 'Worked out']"
258,2016-01-29,2016/1/29 21:47,2016/1/30 6:06,0.88,8:19:00,,Drank coffee:Drank tea:Worked out,,0,499,"['Drank coffee', 'Drank tea', 'Worked out']"
259,2016-01-31,2016/1/31 22:58,2016/2/1 6:19,0.78,7:20:00,,Drank coffee,,0,440,['Drank coffee']
260,2016-02-01,2016/2/1 22:02,2016/2/2 5:27,0.82,7:25:00,,Drank coffee:Drank tea:Worked out,,0,445,"['Drank coffee', 'Drank tea', 'Worked out']"
261,2016-02-02,2016/2/2 21:47,2016/2/3 5:20,0.72,7:33:00,,Drank coffee:Worked out,,0,453,"['Drank coffee', 'Worked out']"
262,2016-02-03,2016/2/3 22:54,2016/2/4 6:20,0.79,7:26:00,,Drank coffee:Worked out,,0,446,"['Drank coffee', 'Worked out']"
263,2016-02-04,2016/2/4 22:17,2016/2/5 6:53,0.74,8:35:00,,Drank coffee:Stressful day:Worked out,,0,515,"['Drank coffee', 'Stressful day', 'Worked out']"
264,2016-02-05,2016/2/5 23:45,2016/2/6 7:35,0.84,7:50:00,,Drank coffee,,0,470,['Drank coffee']
265,2016-02-06,2016/2/6 22:55,2016/2/7 7:35,0.91,8:40:00,,Drank tea,,0,520,['Drank tea']
266,2016-02-08,2016/2/8 0:44,2016/2/8 7:45,0.68,7:01:00,,Drank coffee:Drank tea,,0,421,"['Drank coffee', 'Drank tea']"
267,2016-02-08,2016/2/8 22:43,2016/2/9 6:40,0.77,7:56:00,,Drank coffee:Drank tea:Worked out,,0,476,"['Drank coffee', 'Drank tea', 'Worked out']"
268,2016-02-09,2016/2/9 21:57,2016/2/10 5:31,0.66,7:33:00,,Drank coffee:Worked out,,0,453,"['Drank coffee', 'Worked out']"
269,2016-02-13,2016/2/13 23:41,2016/2/14 5:11,0.38,5:30:00,,Drank coffee,,0,330,['Drank coffee']
270,2016-02-14,2016/2/14 22:07,2016/2/15 5:53,0.84,7:45:00,,Drank coffee:Stressful day,,0,465,"['Drank coffee', 'Stressful day']"
271,2016-02-15,2016/2/15 22:07,2016/2/16 5:25,0.76,7:18:00,,Drank coffee:Worked out,,0,438,"['Drank coffee', 'Worked out']"
272,2016-02-16,2016/2/16 22:20,2016/2/17 5:32,0.7,7:12:00,,Drank coffee:Worked out,,0,432,"['Drank coffee', 'Worked out']"
273,2016-02-17,2016/2/17 21:33,2016/2/18 6:24,0.9,8:51:00,,Drank coffee:Stressful day:Worked out,,0,531,"['Drank coffee', 'Stressful day', 'Worked out']"
274,2016-02-18,2016/2/18 22:47,2016/2/19 6:26,0.77,7:39:00,,Drank coffee:Drank tea:Worked out,,0,459,"['Drank coffee', 'Drank tea', 'Worked out']"
275,2016-02-20,2016/2/20 23:12,2016/2/21 7:41,0.69,8:28:00,,Drank coffee,,0,508,['Drank coffee']
276,2016-02-22,2016/2/22 22:04,2016/2/23 6:23,0.85,8:19:00,,Drank coffee,,0,499,['Drank coffee']
277,2016-02-23,2016/2/23 22:18,2016/2/24 6:25,0.94,8:06:00,,Drank coffee:Worked out,,0,486,"['Drank coffee', 'Worked out']"
278,2016-02-24,2016/2/24 21:59,2016/2/25 5:43,0.88,7:44:00,,Drank tea:Worked out,,0,464,"['Drank tea', 'Worked out']"
279,2016-02-26,2016/2/26 0:15,2016/2/26 6:35,0.68,6:20:00,,Drank tea:Worked out,,0,380,"['Drank tea', 'Worked out']"
280,2016-02-27,2016/2/27 23:33,2016/2/28 7:50,0.92,8:17:00,,Drank coffee,,0,497,['Drank coffee']
281,2016-02-28,2016/2/28 22:19,2016/2/29 5:45,0.64,7:25:00,,Drank tea,,0,445,['Drank tea']
282,2016-02-29,2016/2/29 21:55,2016/3/1 6:22,0.78,8:26:00,,Drank tea:Worked out,,0,506,"['Drank tea', 'Worked out']"
283,2016-03-01,2016/3/1 23:22,2016/3/2 5:50,0.7,6:28:00,,Drank tea:Worked out,,0,388,"['Drank tea', 'Worked out']"
284,2016-03-02,2016/3/2 22:15,2016/3/3 6:21,0.95,8:06:00,,Drank coffee:Drank tea:Worked out,,0,486,"['Drank coffee', 'Drank tea', 'Worked out']"
285,2016-03-03,2016/3/3 22:01,2016/3/4 6:17,0.9,8:16:00,,Drank tea:Worked out,,0,496,"['Drank tea', 'Worked out']"
286,2016-03-05,2016/3/5 23:20,2016/3/6 7:31,0.98,8:11:00,,Drank tea,,0,491,['Drank tea']
287,2016-03-06,2016/3/6 23:08,2016/3/7 6:19,0.7,7:11:00,,Drank coffee:Drank tea,,0,431,"['Drank coffee', 'Drank tea']"
288,2016-03-07,2016/3/7 22:50,2016/3/8 6:22,0.75,7:32:00,,Drank tea:Worked out,,0,452,"['Drank tea', 'Worked out']"
289,2016-03-08,2016/3/8 21:40,2016/3/9 6:25,0.91,8:44:00,,Drank tea:Worked out,,0,524,"['Drank tea', 'Worked out']"
290,2016-03-09,2016/3/9 22:40,2016/3/10 5:49,0.79,7:09:00,,Drank tea,,0,429,['Drank tea']
291,2016-03-10,2016/3/10 21:35,2016/3/11 5:34,0.92,7:58:00,,Drank tea:Worked out,,0,478,"['Drank tea', 'Worked out']"
292,2016-03-12,2016/3/12 1:33,2016/3/12 7:50,0.69,6:17:00,,Drank coffee:Worked out,,0,377,"['Drank coffee', 'Worked out']"
293,2016-03-12,2016/3/12 23:44,2016/3/13 7:51,0.83,7:07:00,,Drank tea,,0,427,['Drank tea']
294,2016-03-13,2016/3/13 22:47,2016/3/14 5:40,0.82,6:53:00,,Drank tea:Worked out,,0,413,"['Drank tea', 'Worked out']"
295,2016-03-14,2016/3/14 22:16,2016/3/15 5:46,0.79,7:29:00,,Drank tea:Worked out,,0,449,"['Drank tea', 'Worked out']"
296,2016-03-15,2016/3/15 22:41,2016/3/16 6:25,0.85,7:43:00,,Drank coffee:Drank tea:Worked out,,0,463,"['Drank coffee', 'Drank tea', 'Worked out']"
297,2016-03-16,2016/3/16 22:25,2016/3/17 7:05,0.9,8:39:00,,Drank coffee:Worked out,,0,519,"['Drank coffee', 'Worked out']"
298,2016-03-17,2016/3/17 22:46,2016/3/18 7:08,0.98,8:22:00,,Drank coffee:Drank tea,,0,502,"['Drank coffee', 'Drank tea']"
299,2016-03-18,2016/3/18 22:17,2016/3/19 7:47,0.87,9:30:00,,Drank coffee,,0,570,['Drank coffee']
300,2016-03-20,2016/3/20 22:13,2016/3/21 7:26,0.8,9:13:00,,Drank coffee,,0,553,['Drank coffee']
301,2016-03-21,2016/3/21 22:37,2016/3/22 7:32,0.8,8:54:00,,Drank coffee,,0,534,['Drank coffee']
302,2016-03-22,2016/3/22 21:22,2016/3/23 6:19,0.8,8:56:00,,Drank coffee:Drank tea,,0,536,"['Drank coffee', 'Drank tea']"
303,2016-03-23,2016/3/23 22:06,2016/3/24 5:20,0.65,7:13:00,,Drank coffee:Drank tea:Worked out,,0,433,"['Drank coffee', 'Drank tea', 'Worked out']"
304,2016-03-27,2016/3/27 23:28,2016/3/28 7:30,0.82,8:01:00,,Drank coffee,,0,481,['Drank coffee']
305,2016-03-28,2016/3/28 23:32,2016/3/29 6:29,0.75,6:56:00,,Drank coffee:Stressful day:Worked out,,0,416,"['Drank coffee', 'Stressful day', 'Worked out']"
306,2016-03-29,2016/3/29 23:12,2016/3/30 6:25,0.66,7:13:00,,Drank coffee:Worked out,,0,433,"['Drank coffee', 'Worked out']"
307,2016-03-30,2016/3/30 22:58,2016/3/31 6:25,0.58,7:26:00,,Drank coffee:Drank tea:Worked out,,0,446,"['Drank coffee', 'Drank tea', 'Worked out']"
308,2016-03-31,2016/3/31 22:47,2016/4/1 6:30,0.89,7:42:00,,Drank coffee:Drank tea:Worked out,,0,462,"['Drank coffee', 'Drank tea', 'Worked out']"
309,2016-04-02,2016/4/2 21:20,2016/4/3 7:08,0.86,9:47:00,,Drank coffee,,0,587,['Drank coffee']
310,2016-04-03,2016/4/3 21:44,2016/4/4 6:24,0.67,8:39:00,,Drank coffee,,0,519,['Drank coffee']
311,2016-04-04,2016/4/4 21:23,2016/4/5 6:29,0.62,9:05:00,,Drank coffee,,0,545,['Drank coffee']
312,2016-04-05,2016/4/5 21:13,2016/4/6 6:24,0.81,9:11:00,,Drank coffee:Worked out,,0,551,"['Drank coffee', 'Worked out']"
313,2016-04-06,2016/4/6 23:00,2016/4/7 5:55,0.73,6:55:00,,Drank coffee:Drank tea:Worked out,,0,415,"['Drank coffee', 'Drank tea', 'Worked out']"
314,2016-04-07,2016/4/7 21:48,2016/4/8 5:49,0.81,8:00:00,,Ate late:Drank coffee:Drank tea:Worked out,,0,480,"['Ate late', 'Drank coffee', 'Drank tea', 'Worked out']"
315,2016-04-09,2016/4/9 0:51,2016/4/9 7:21,0.53,6:30:00,,Drank coffee:Drank tea:Worked out,,0,390,"['Drank coffee', 'Drank tea', 'Worked out']"
316,2016-04-09,2016/4/9 22:59,2016/4/10 7:59,0.94,9:00:00,,Drank coffee:Drank tea:Worked out,,0,540,"['Drank coffee', 'Drank tea', 'Worked out']"
317,2016-04-10,2016/4/10 22:04,2016/4/11 5:16,0.67,7:12:00,,Drank tea,,0,432,['Drank tea']
318,2016-04-11,2016/4/11 22:35,2016/4/12 5:54,0.82,7:19:00,,Drank coffee:Drank tea:Stressful day:Worked out,,0,439,"['Drank coffee', 'Drank tea', 'Stressful day', 'Worked out']"
319,2016-04-12,2016/4/12 22:18,2016/4/13 5:52,0.85,7:33:00,,Drank coffee:Drank tea:Worked out,,0,453,"['Drank coffee', 'Drank tea', 'Worked out']"
320,2016-04-13,2016/4/13 22:27,2016/4/14 6:13,0.77,7:45:00,,Drank coffee:Drank tea:Worked out,,0,465,"['Drank coffee', 'Drank tea', 'Worked out']"
321,2016-04-14,2016/4/14 21:43,2016/4/15 6:24,0.94,8:41:00,,Drank coffee:Drank tea:Stressful day:Worked out,,0,521,"['Drank coffee', 'Drank tea', 'Stressful day', 'Worked out']"
322,2016-04-15,2016/4/15 22:38,2016/4/16 7:25,0.81,8:47:00,,Drank coffee:Drank tea,,0,527,"['Drank coffee', 'Drank tea']"
323,2016-04-17,2016/4/17 21:34,2016/4/18 6:26,0.75,8:52:00,,Drank coffee:Drank tea,,0,532,"['Drank coffee', 'Drank tea']"
324,2016-04-19,2016/4/19 21:21,2016/4/20 6:20,0.79,8:59:00,,Drank coffee:Drank tea:Worked out,,0,539,"['Drank coffee', 'Drank tea', 'Worked out']"
325,2016-04-20,2016/4/20 21:25,2016/4/21 5:35,0.81,8:09:00,,Ate late:Drank coffee:Drank tea:Worked out,,0,489,"['Ate late', 'Drank coffee', 'Drank tea', 'Worked out']"
326,2016-04-21,2016/4/21 21:54,2016/4/22 5:35,0.79,7:40:00,,,,0,460,['nan']
328,2016-04-23,2016/4/23 0:46,2016/4/23 7:54,0.65,7:07:00,,Drank coffee:Drank tea:Worked out,,0,427,"['Drank coffee', 'Drank tea', 'Worked out']"
329,2016-04-24,2016/4/24 22:30,2016/4/25 6:14,0.81,7:43:00,,Drank tea,,0,463,['Drank tea']
330,2016-04-25,2016/4/25 22:07,2016/4/26 5:39,0.87,7:31:00,,Ate late:Drank coffee:Drank tea:Worked out,,0,451,"['Ate late', 'Drank coffee', 'Drank tea', 'Worked out']"
331,2016-04-26,2016/4/26 22:48,2016/4/27 6:20,0.74,7:32:00,,Drank coffee:Drank tea:Worked out,,0,452,"['Drank coffee', 'Drank tea', 'Worked out']"
332,2016-04-27,2016/4/27 22:24,2016/4/28 6:25,0.92,8:01:00,,Drank coffee:Drank tea:Worked out,,0,481,"['Drank coffee', 'Drank tea', 'Worked out']"
333,2016-04-28,2016/4/28 22:23,2016/4/29 6:17,0.95,7:53:00,,Drank coffee:Drank tea:Worked out,,0,473,"['Drank coffee', 'Drank tea', 'Worked out']"
334,2016-04-29,2016/4/29 22:47,2016/4/30 5:57,0.81,7:09:00,,Drank coffee:Drank tea:Worked out,,0,429,"['Drank coffee', 'Drank tea', 'Worked out']"
335,2016-05-01,2016/5/1 21:27,2016/5/2 6:15,0.95,8:47:00,,Drank coffee:Worked out,,0,527,"['Drank coffee', 'Worked out']"
336,2016-05-02,2016/5/2 21:50,2016/5/3 6:20,0.85,8:29:00,,Drank coffee:Worked out,,0,509,"['Drank coffee', 'Worked out']"
337,2016-05-03,2016/5/3 22:19,2016/5/4 6:20,0.79,8:01:00,,Drank coffee:Worked out,,0,481,"['Drank coffee', 'Worked out']"
338,2016-05-04,2016/5/4 22:16,2016/5/5 6:30,0.83,8:13:00,,Drank coffee:Drank tea:Worked out,,0,493,"['Drank coffee', 'Drank tea', 'Worked out']"
339,2016-05-05,2016/5/5 22:20,2016/5/6 6:15,0.89,7:54:00,,Ate late:Drank coffee,,0,474,"['Ate late', 'Drank coffee']"
340,2016-05-06,2016/5/6 23:07,2016/5/7 7:08,0.87,8:00:00,,Drank coffee:Drank tea:Stressful day:Worked out,,0,480,"['Drank coffee', 'Drank tea', 'Stressful day', 'Worked out']"
341,2016-05-07,2016/5/7 23:20,2016/5/8 7:12,0.93,7:51:00,,Drank coffee:Drank tea,,0,471,"['Drank coffee', 'Drank tea']"
342,2016-05-08,2016/5/8 23:44,2016/5/9 6:20,0.74,6:36:00,,Drank coffee:Drank tea,,0,396,"['Drank coffee', 'Drank tea']"
343,2016-05-09,2016/5/9 22:10,2016/5/10 5:41,0.83,7:30:00,,Drank coffee:Drank tea:Worked out,,0,450,"['Drank coffee', 'Drank tea', 'Worked out']"
344,2016-05-10,2016/5/10 23:10,2016/5/11 5:30,0.74,6:20:00,,Drank coffee:Drank tea:Worked out,,0,380,"['Drank coffee', 'Drank tea', 'Worked out']"
